Street,City,propertycard__detailvalue,quartos,banheiros,vagas,price
Rua Nicolau Barreto,Vila Cordeiro,177,3,5,2,1500000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,190,2,2,2,1100000
Jardim Guedala São Paulo,SP,650,4,6,4,5500000
Rua Tomé Souza,"Santa Cruz dos Lázaros, Jacareí",126,3,2,2,312000
Rua Salvador Fontoura,Parque Boturussu,210,3,2,6,250000
Vila Arriete São Paulo,SP,200,4,3,2,775000
Rua Inglaterra,Jardim Europa,200,3,3,2,13000
Rua Peribebuí,Alto da Lapa,440,4,6,7,2200000
Avenida João XXIII,Vila Formosa,225,2,2,2,780000
Rua Taiaçupeba,Quinta da Paineira,350,3,5,6,980000
Rua Coronel Virgílio dos Santos,Vila Jaguara,220,3,3,2,750000
Rua Áurea Graciliana Dias,"Condomínio Residencial Monaco, São José dos Campos",249,4,3,2,1290000
Rua da Paz,Alto da Boa Vista,386,4,4,5,1680000
Rua Major Alfredo Romão,Vila Clarice,99,3,2,2,650000
Rua Bolívia,Jardim América,663,4,7,6,14500000
Rua General Fonseca Teles,Jardim Paulista,420,4,6,3,8700000
Rua Pataíba,Tucuruvi,211,3,3,3,1237000
Rua Doutor Milton de Souza Meirelles,Parque Continental,180,3,4,4,950000
Avenida Amador Bueno da Veiga,Penha de França,150,4,1,5,510000
Rua Maria Tereza Farabulini Rodrigues,Parque Continental,200,3,5,3,1500000
Rua Doutor Franco da Rocha,Perdizes,452,4,6,2,4240000
Rua Caetano Braga,Conjunto Residencial José Bonifácio,129,3,2,2,490000
Rua Francisco de Paula Brito,Planalto Paulista,250,3,4,4,2190000
Rua dos Comerciários,Cidade Vargas,250,3,3,5,2180000
Rua Francisco Correia Dutra,Jardim Maria Luiza,152,2,3,2,398000
Rua Joaquim de Almeida,Mirandópolis,192,4,2,2,950000
Rua Elisa Rodrigues,Planalto Paulista,184,4,3,4,1390000
Rua José Sebastião de Sá,Jardim do Carmo,100,2,2,1,530000
Rua Amandaba,Jardim Prudência,253,4,4,2,1280000
Rua Cordisburgo,Jardim Leonor,850,4,8,6,6500000
Estrada José Ribeiro Leite,"Ipatinga, Sorocaba",47,2,1,2,188200
Rua Carlos Rath,Alto de Pinheiros,400,5,4,4,2900000
Alto de Pinheiros São Paulo,SP,358,4,4,4,3500000
Rua Luís Ramos Figueira,Vila Suzana,140,3,4,2,775000
Rua dos Aliados,Alto da Lapa,500,5,7,7,3500000
Planalto Paulista São Paulo,SP,119,2,2,2,670000
Jardim Guedala São Paulo,SP,650,4,7,4,3500000
Rua Benedito Antonio de Campos,"Residencial de Lorenzi, Boituva",78,2,2,1,298000
Rua Doutor Nicolau Asprino Júnior,Vila Brasílio Machado,250,3,3,3,1500000
Rua José Barbosa,Jardim das Vertentes,84,3,3,2,470000
Rua Iagari,Alto da Lapa,243,3,5,3,2400000
Rua Júlio Rua Perez,Campo Belo,145,4,3,2,1350000
Rua Marechal Barbacena,Vila Regente Feijó,150,3,2,2,800000
Rua Plínio Mota,Vila Tolstoi,240,3,3,7,890000
Rua Belarmino Cardoso de Andrade,Terceira Divisão de Interlagos,167,3,4,2,630000
Rua Camberra,Vila Formosa,256,4,3,1,1063830
Vila Moinho Velho São Paulo,SP,220,4,3,2,750000
Rua Marechal,do,360,4,5,4,1800000
Jardim Guedala São Paulo,SP,354,4,6,4,2950000
Rua Pero Correia,Vila Mariana,250,3,3,1,1350000
Avenida Ouro Verde de Minas,Jardim Imperador (Zona Leste),186,3,3,2,750000
Rodovia Vereador Abel Fabricio Dias,"Vila São Benedito, Pindamonhangaba",44,2,1,2,180000
Rua Inglaterra,Jardim Europa,756,5,4,10,37000000
Avenida Ibiúna,Vila Aricanduva,500,4,3,4,1200000
Brooklin Paulista São Paulo,SP,400,5,6,4,2500000
Sumaré São Paulo,SP,627,3,6,6,4950000
Rua Coronel Octávio Azeredo,Vila Mazzei,80,3,1,2,420000
Rua Drosera,Pirituba,190,3,2,4,920000
Jardim Paulista São Paulo,SP,1060,5,5,4,30000000
Rua Timbó,Mooca,170,3,2,2,940000
Rua Prudentópolis,Boaçava,1192,4,3,6,6200000
Vila Gustavo São Paulo,SP,200,4,3,1,550000
Rua José Clemente,Jardim Paulista,724,4,6,3,8000000
Rua Araripe,Vila Califórnia,300,6,3,2,430000
Rua Lavras do Sul,Vila Carolina,120,4,3,2,650000
Rua Marco Aurélio,Vila Romana,160,3,4,2,940000
Alameda dos Guainumbis,Planalto Paulista,200,4,6,3,2014000
Avenida Júlio Buono,Vila Gustavo,217,5,3,2,670000
Rua Monsenhor Moura,Vila Leopoldina,167,2,2,2,820000
Rua dos Tamanás,Vila Madalena,440,4,5,4,3950000
Praça Doutor Carvalho Franco,Vila Mariana,250,3,5,2,2450000
Rua Maria Ramos,Vila São Paulo,250,5,6,2,486000
Rua Kansas,Brooklin Paulista,70,2,4,2,800000
Rua Engenheiro Dolabela,Jardim Bandeirantes (Zona Norte),455,4,5,3,680000
Rua Francisco Bellazzi,Jardim Jaraguá,80,2,1,1,245000
Rua Gonçalo Pires,Vila Morse,125,3,3,1,610000
Rua Cautaros,Itaquera,185,3,5,5,460000
Avenida Avelino Paranho,Vila Talarico,250,5,3,5,850000
Rua Manoel João Pereira,Vila Matilde,131,3,2,2,540000
Rua Getúlio Vargas Filho,Cidade Vargas,114,3,4,2,550000
Rua Bernardo Vieira,Vila Laís,104,1,1,1,270000
Rua Marechal Bina Machado,Jardim Marajoara,360,4,5,4,1750000
Rua Doutor Augusto de Miranda,Vila Pompéia,98,3,3,1,1050000
Alameda dos Ciprestes,Chácara Santo Antônio (Zona Sul),351,4,4,4,3480000
Rua José Clemente,Jardim Paulista,700,4,5,4,7900000
Rua Laplace,Brooklin Paulista,300,3,5,4,2400000
Jardim Trussardi São Paulo,SP,125,3,4,3,800000
Rua Aquiramun,Alto de Pinheiros,450,5,6,5,5500000
Vila Madalena São Paulo,SP,534,5,6,5,4500000
Jardim dos Estados São Paulo,SP,340,4,6,3,3000000
Rua Rússia,Jardim Europa,200,3,3,2,2700000
Rua Oscar Pinheiro Coelho,Caxingui,110,2,1,3,620000
Rua Tagipuru,Barra Funda,170,4,3,2,1600000
Rua Américo Brasiliense,Alto da Boa Vista,340,4,6,7,2200000
Rua Catão,Vila Romana,235,3,4,3,1280000
Vila Santos São Paulo,SP,114,3,1,3,510000
Rua Conchilia,Vila Albertina,300,4,6,4,1600000
Rua Antônio Barbosa de Oliveira,Vila João Batista,571,3,2,3,987000
Rua João Pereira Santos,Jardim Nova Germania,57,3,1,5,350000
Rua Monte Cardoso,Vila Antonieta,150,3,2,2,600000
Jardim Europa São Paulo,SP,693,4,5,6,16000000
Rua Fonseca da Costa,Bosque da Saúde,650,4,6,12,11000
Rua Prisciliana Duarte,Jardim da Saúde,257,3,4,4,1600000
Rua Agostinho da Mota,Chácara Santo Antônio (Zona Leste),140,3,4,4,900000
Butantã São Paulo,SP,299,4,5,3,2140000
Rua Professor João Marinho,Vila Mariana,170,3,4,2,1490000
Jardim Paulistano São Paulo,SP,230,2,3,2,12000
Rua Pereira Caldas,Jardim da Glória,200,3,2,2,1000000
Rua Princesa Leopoldina,Alto da Lapa,100,2,2,1,940000
Jardim Petrópolis São Paulo,SP,243,5,4,2,1390000
Vila Mariana São Paulo,SP,228,4,5,3,2200000
Avenida Moaci,Planalto Paulista,420,5,7,6,1900000
Vila Aparecida São Paulo,SP,168,3,1,2,621000
Siciliano São Paulo,SP,300,3,3,3,1300000
Estrada Velha da Penha,Tatuapé,110,2,1,2,450000
Rua Bernardo Alvarenga,Caxingui,350,3,4,2,1969000
Rua Doutor Antônio Gontijo de Carvalho,Jardim Cordeiro,1200,6,7,8,6360000
Rua Judith,Vila Madalena,146,3,2,2,1550000
Rua Catão,Vila Romana,130,2,2,1,688000
Alto da Lapa São Paulo,SP,170,4,5,6,1700000
Rua Manuel Francisco Alves,Parque Casa de Pedra,232,8,3,1,500000
Rua Luís Dib Zogaib,Morumbi,443,4,6,8,1800000
Rua Pamplona,Jardim Paulista,156,4,4,2,2340000
Rua Alexandre Von Humboldt,Praia Azul,250,4,4,3,580000
Rua Boiçununga,São João Clímaco,200,3,3,2,570000
Rua Maestro Elias Lobo,Jardim Paulista,542,5,8,4,25000
Rua Doutor Valentino Sola,Jardim da Glória,231,4,5,6,1650000
Jardim Guedala São Paulo,SP,420,3,6,5,3500000
Rua Guararapes,Lapa,515,3,5,8,30000
Rua Serenata,Vila Prudente,140,3,3,2,490000
Rua Eduardo da Silva Magalhães,Parque Continental,350,5,7,7,2500000
Rua João Pedro,Capela do Socorro,120,3,3,3,500000
Rua Alvarenga,Butantã,400,4,3,4,10000
Planalto Paulista São Paulo,SP,361,4,6,5,1490000
Rua Otávio Tarquínio de Sousa,Campo Belo,160,3,4,2,4500
Rua Quirino Pucca,Vila Romana,65,1,1,2,480000
Rua Guira,Guainumbi,180,4,2,1,300000
Rua Teviot,Vila Nova Conceição,363,4,6,4,5100000
Jardim Guedala São Paulo,SP,431,4,5,5,30000
Rua Coronel Melo de Oliveira,Perdizes,184,3,3,2,1272000
Jardim da Glória São Paulo,SP,230,3,3,4,1500000
Morumbi São Paulo,SP,1800,3,5,6,80000
Vila Ida São Paulo,SP,437,3,5,5,1850000
Rua Amélia da Silveira,Jardim Vivan,176,3,4,2,620000
Rua Alberto Lohnhoff,Lauzane Paulista,88,3,3,1,455000
Rua Itália,Jardim Europa,713,5,7,6,26600000
Rua Constantino de Sousa,Campo Belo,266,6,6,6,1750000
Rua José Ubaldo Lomônaco,Jardim da Glória,430,5,6,4,3150000
Rua Bolívia,Jardim América,1060,4,5,9,11489000
Rua Faustino Augusto César,Vila Marari,180,3,3,3,850000
Rua Major Newton de Feliciano,Jardim Aurélia,480,4,6,6,25000
Cidade Jardim São Paulo,SP,600,4,6,4,2200000
Rua dos Macunis,Vila Madalena,180,4,4,4,2400000
Rua Vergueiro,Cursino,113,3,2,2,570000
Cidade Dutra São Paulo,SP,497,3,4,8,1300000
Rua Joaquim Lima de Moraes,Santo Amaro,224,3,4,2,1500000
Rua Jorge Fares,Jardim São Luís,127,3,1,2,540000
Água Fria São Paulo,SP,190,3,4,4,750000
Parque Boturussu São Paulo,SP,60,2,5,1,251000
Belenzinho São Paulo,SP,124,4,3,1,595000
Rua Antônio Sales de Camargo,Bosque da Saúde,118,4,5,3,960000
Rua Croata,Vila Ipojuca,358,3,4,4,2160000
Vila Sônia São Paulo,SP,480,3,5,4,7000
Rua Emílio Pedutti,Morumbi,546,4,7,6,3290000
Rua Açaré,Alto de Pinheiros,252,3,5,4,2900000
Vila Ida São Paulo,SP,293,3,5,4,3650000
Jardim Panorama São Paulo,SP,639,4,8,4,3600000
Jardim Ampliação São Paulo,SP,160,3,4,3,860000
Rua Cristiano Viana,Cerqueira César,155,3,1,1,1300000
Lauzane Paulista São Paulo,SP,80,2,1,2,374500
Cidade Jardim São Paulo,SP,1000,5,5,8,40000
Rua Aguaçaí,Pari,180,3,4,1,750000
Rua Muller Carioba,Jardim da Saúde,230,3,2,3,660000
Rua Olímpia Lemes da Silva,Jardim das Vertentes,260,3,3,2,940000
Vila Sabrina São Paulo,SP,500,8,5,1,990000
Rua Frederico Von Martius,Ipiranga,300,3,5,2,1350000
Rua Banibás,Alto de Pinheiros,297,4,5,4,15500
Alto de Pinheiros São Paulo,SP,360,3,5,4,4950000
Vila Olímpia São Paulo,SP,120,3,4,2,1550000
Rua Doutora Maria Augusta Saraiva,Vila Olímpia,120,3,2,2,1550000
Rua Doutor Fausto de Almeida Prado Penteado,Jardim Sílvia (Zona Oeste),1643,4,5,10,4500000
Jardim Franca São Paulo,SP,381,4,4,6,1250000
Rua Banibás,Alto de Pinheiros,750,5,5,8,6500000
Rua Comendador Gabriel Calfat,Jardim Leonor,554,4,7,4,2750000
Jardim Sílvia (Zona Oeste) São Paulo,SP,1100,4,6,8,30000
Santo Amaro São Paulo,SP,250,3,6,2,1600000
Rua Barbalha,Alto da Lapa,229,3,2,2,949000
Rua Alfredo Pinheiro,Parque Continental,200,3,2,2,710000
Rua Salvador Simões,Vila Dom Pedro I,198,3,4,3,972000
Rua Alexandre Teixeira,Vila Euthalia,130,2,2,2,350000
Rua Irmã Amélia,Vila Prudente,147,3,3,3,820000
Alameda dos Apetupás,Planalto Paulista,400,4,4,4,2100000
Rua Agrovila,Campo Belo,178,3,3,3,1250000
Rua Doutor José Manoel de Figueiredo Netto,Santana,66,4,3,1,590000
Avenida Piassanguaba,Planalto Paulista,260,3,5,2,2350000
Jardim Guedala São Paulo,SP,584,4,6,4,2950000
Rua Felício Tarabai,Barro Branco (Zona Norte),215,3,3,4,6000
Travessa Palma,de,125,2,1,1,370000
Mooca São Paulo,SP,80,2,2,4,870000
Rua Roncador,Vila Corberi,100,3,1,2,340000
Rua Douro,São Judas,831,4,8,4,16000000
Jardim América São Paulo,SP,617,4,4,8,9500000
Interlagos São Paulo,SP,793,4,7,6,11000
Alto da Lapa São Paulo,SP,180,4,2,4,1290000
Rua Aquiramun,Alto de Pinheiros,680,4,6,3,11700000
Vila Gustavo São Paulo,SP,129,3,2,2,750000
Rua Palmeira,Batuá,120,3,3,2,550000
Rua Maestro Elias Lobo,Jardim Paulista,191,3,4,1,2590000
Rua Bariri,Vila Carrão,170,3,2,4,630000
Rua Fonseca da Costa,Bosque da Saúde,650,4,7,12,11000
Rua Lourenço Castanho,Vila Nova Conceição,280,4,3,8,3995000
Rua Costa Aguiar,Ipiranga,220,3,4,4,1490000
Rua dos Franceses,Morro dos Ingleses,1039,6,7,20,22000000
Rua Marechal Santos Barreto,Vila Prudente,101,3,4,2,600000
Rua Bertioga,Chácara Inglesa,140,6,3,2,7500
Rua Helena Ricceli Luchetti,Parque Savoy City,160,3,2,2,580000
Sumaré São Paulo,SP,631,4,5,6,3500000
Jardim Franca São Paulo,SP,300,4,6,4,1600000
Rua Dinamarca,Jardim Europa,600,7,7,6,10600000
Pacaembu São Paulo,SP,306,4,3,2,2000000
Travessa Doutor Ezequiel Antunes de Oliveira,Vila Nova Conceição,120,3,4,3,2850000
Rua Ximbó,Aclimação,140,4,3,4,800000
Rua Chico de Paula,Nossa Senhora do Ó,354,5,5,6,1350000
Rua Gregório Lazzarini,Jardim Três Marias,120,3,3,4,380000
Rua Professor Guilherme Belfort Sabino,Campininha,164,2,1,1,440000
Rua Califórnia,Cidade Monções,120,4,3,2,780000
Rua Thomaz Antônio Villani,Vila Santa Maria,140,3,2,3,780000
Rua das Begônias,Cidade Jardim,580,4,5,5,10000
Rua Rodrigues de Campos Leite,Vila Ipojuca,135,3,4,2,799000
Rua Guaonés,Jardim Guedala,550,4,6,6,10000
Rua Nélio Batista Guimarães,Parque Boturussu,171,3,1,4,420000
Jardim Santo Amaro São Paulo,SP,240,2,4,6,1800000
Rua Ipomeias,Vila Bela,36,2,1,1,190000
Rua Arapuã,Vila Guarani (Z Sul),180,3,3,2,559000
Jardim Ampliação São Paulo,SP,160,3,4,3,799000
Rua Juvenal Galeno,Jardim da Saúde,388,4,1,7,6000
Rua Kansas,Brooklin Paulista,200,3,1,10,2240000
Rua Amâncio Klein,Vila das Belezas,160,6,3,4,550000
Vila Matilde São Paulo,SP,120,3,2,1,530000
Vila Ida São Paulo,SP,255,3,5,3,2200000
Rua Dorandia,Jardim Brasil (Zona Norte),100,4,3,4,600000
Rua Baiás,Boaçava,400,3,4,4,15000
Avenida George Saville Dodd,Jardim Guedala,770,4,1,6,7000000
Rua General Vitorino Monteiro,Vila Romana,450,5,5,4,2100000
Rua São Borja,Cidade Vargas,480,3,2,4,1060000
Rua José de Freitas Guimarães,Pacaembu,400,2,5,3,2150000
Vila Prudente São Paulo,SP,296,3,5,6,1800000
Rua Doutor Octávio de Oliveira Santos,Brooklin Paulista,200,3,4,2,1070000
Jardim Guedala São Paulo,SP,400,4,3,4,1800000
Rua Cássio Martins Vilaça,Pacaembu,288,4,5,3,2890000
Rua Deolinda de Oliveira,Vila Moraes,150,3,2,2,435000
Rua Mateus Clemente,Jardim Alvorada (Zona Oeste),180,3,4,3,450000
Rua Doutor Martins de Oliveira,Jardim Londrina,300,4,4,2,1290000
Jardim Guedala São Paulo,SP,750,4,7,4,6900000
Rua Teviot,Vila Nova Conceição,120,2,2,2,1620000
Vila Nova Conceição São Paulo,SP,190,3,3,2,2290000
Jardim Guedala São Paulo,SP,750,4,7,4,6900000
Rua Teviot,Vila Nova Conceição,120,2,2,2,1620000
Vila Nova Conceição São Paulo,SP,190,3,3,2,2290000
Rua Professor Alfredo Ashcar,Jardim Leonor,250,3,5,4,1200000
Rua Barão de Juparanã,Vila Zelina,230,5,5,2,990000
Vila Madalena São Paulo,SP,391,4,5,4,2850000
Rua Albertina,Tremembé,440,3,5,5,1780000
Travessa Doutor Ezequiel Antunes de Oliveira,Vila Nova Conceição,170,3,5,3,2400000
Praça Doutor João Guilherme Flocke,Vila Madalena,380,7,5,6,3200000
Rua Laurindo Sbampato,Vila Guilherme,130,3,2,2,660000
Rua Santos Dumont,Jardim Petrópolis,763,5,6,4,3490000
Rua São Leônidas,Santo Amaro,232,3,2,3,1000000
Rua Iraci,Jardim Paulistano,136,3,4,3,1800000
Rua dos Franceses,Morro dos Ingleses,125,3,2,2,1150000
Rua Madalena,Vila Madalena,488,4,6,3,2950000
Rua Murajuba,Alto de Pinheiros,1530,4,6,6,9890000
Rua Doutor Roberto Moreira,Jardim Leonor,700,3,8,6,4000000
Alto da Lapa São Paulo,SP,135,1,2,4,1550000
Rua Doutor Fausto de Almeida Prado Penteado,Jardim Sílvia (Zona Oeste),1643,4,5,10,3800000
Rua Professora Sebastiana Silva Minhoto,Tatuapé,147,2,3,3,690000
Rua Caropá,Vila Madalena,192,3,3,2,1600000
Rua Meru,Parque da Vila Prudente,201,3,3,4,960000
Rua Mateus Martins do Prado,Parque Alves de Lima,158,4,4,2,820000
Rua Gregório Paes de Almeida,Vila Madalena,280,3,3,4,2500000
Rua dos Alcatrazes,Chácara Flora,1300,5,8,9,10000000
Rua Ovídio Lopes,Parque Boturussu,125,2,1,1,315000
Rua Lourenço de Azevedo,Vila Morse,240,3,2,3,1300000
Rua Marcos Lopes,Vila Nova Conceição,200,5,5,3,3880000
Jardim Camargo Novo São Paulo,SP,300,4,5,7,950000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,150,3,2,1,795000
Rua Pero Correia,Vila Mariana,350,6,4,10,1700000
Jardim Santo Amaro São Paulo,SP,440,4,4,2,12000
Rua Iramaia,Jardim Europa,210,4,3,3,2300000
Jardim dos Estados São Paulo,SP,514,4,6,6,2800000
Rua Sampaio Vidal,Jardim Paulistano,237,3,4,3,3200000
Rua Américo Brasiliense,Alto da Boa Vista,350,4,6,4,2200000
Rua Bernardino de Campos,Campo Belo,320,3,5,2,1740000
Rua Mestre João,Jardim Vila Formosa,250,4,2,4,800000
Jardim Planalto São Paulo,SP,130,3,3,2,390000
Avenida Comendador Adibo Ares,Morumbi,686,5,6,5,3350000
Santana São Paulo,SP,300,4,6,4,1500000
Rua Professor Nova Gomes,Vila Madalena,261,3,5,2,1800000
Pacaembu São Paulo,SP,390,4,3,4,3500000
Rua José Ubaldo Lomônaco,Jardim da Glória,430,5,6,4,3150000
Rua Ícaro Sydow,Cidade Jardim,726,4,6,8,3600000
Jardim Patente Novo São Paulo,SP,219,3,3,2,475000
Praça Sílvio de Almeida,Pacaembu,550,4,4,9,20000
Rua Angatuba,Pacaembu,380,3,4,2,5600000
Rua Joana Martins Castilho,Vila Água Funda,200,2,2,3,540000
Jardim das Camélias São Paulo,SP,1700,4,7,13,3300000
Rua Miranda Guerra,Jardim Petrópolis,250,4,4,3,1450000
Jardim Virginia Bianca São Paulo,SP,200,2,3,4,1090000
Rua Itatinga,Pacaembu,350,4,6,4,3000000
Rua Baguassu,Vila Regente Feijó,288,3,3,3,1980000
Rua Dona Germaine Burchard,Água Branca,110,3,1,2,1300000
Rua Veraldo José de Souza,Jardim D'Abril,200,3,3,2,1650
Rua Luisiania,Brooklin Paulista,249,4,5,4,2200000
Jardim Morumbi São Paulo,SP,244,3,5,2,890000
Rua Pedro Madureira,Jardim São Paulo(Zona Norte),270,3,3,3,1300000
Rua Bernardino Pinheiro,Vila Rosaria,195,3,1,5,650000
Rua Pedro Rodrigues Marques,Jardim Ana Maria,88,2,3,2,360000
Jardim Viana São Paulo,SP,273,3,4,3,1600000
Rua Matias Quevedo,Conjunto Residencial José Bonifácio,100,2,2,1,300000
Jardim Franca São Paulo,SP,296,4,4,4,1550000
Rua Pirituba,Mirandópolis,120,2,2,2,1000000
Rua Rodolfo Arena,Vila Moraes,54,1,1,2,305000
Alameda dos Anapurus,Indianópolis,218,3,3,3,1745000
Rua Leme do Prado,Santo Amaro,300,3,3,2,1420000
Rua Manuel Pereira Guimarães,Granja Julieta,120,5,4,2,3500
Jardim Célia (Zona Sul) São Paulo,SP,266,4,3,3,2500000
Rua Doutor Benedito Matarazzo,Parque Maria Helena,160,3,3,3,550000
Rua Desembargador Vicente Penteado,Jardim América,410,4,6,3,5200000
Rua Umburanas,Alto de Pinheiros,370,4,5,4,4100000
Morumbi São Paulo,SP,566,4,7,8,3500000
Parque Guarani São Paulo,SP,98,2,1,2,369999
Rua Conde D'Eu,Santo Amaro,312,4,3,3,1700000
Rua das Fiandeiras,Vila Olímpia,300,3,5,2,3900000
Rua Juvenal Galeno,Jardim da Saúde,280,3,5,7,1389000
Rua Falchi Gianini,Vila Prudente,120,3,2,3,565000
Rua Erva Cidreira,Jardim Vista Linda,160,3,3,2,689900
Alameda Casa Branca,Jardim Paulista,180,2,1,2,2100000
Rua General Fonseca Teles,Jardim Paulista,420,4,6,3,8700000
Rua Iraci,Jardim Paulistano,136,3,4,3,8000
Rua Aparaó,Vila Inah,320,3,4,7,1980000
Rua Saramenha,Sumaré,300,4,4,4,1650000
Vila Brasilina São Paulo,SP,187,3,1,5,690000
Vila Antonieta São Paulo,SP,135,3,1,2,589000
Rua Honduras,Jardim Paulista,500,4,7,8,29000
Rua Backer,Cambuci,248,3,3,2,890000
Rua Duartina,Sumaré,345,4,3,6,2800000
Rua Estevão Baião,Vila Congonhas,125,2,2,1,600000
Rua Professor Athanassof,Cidade Patriarca,150,3,2,2,430000
Rua Desembargador do Vale,Perdizes,148,3,2,1,830000
Rua Carlos Malheiro Dias,Vila Pirituba,108,3,3,3,598000
Avenida Euclides,Vila Fachini,140,3,2,2,625400
Rua Murajuba,Alto de Pinheiros,300,2,4,2,3350000
Jardim Europa São Paulo,SP,1510,5,5,20,65000000
Vila Ema São Paulo,SP,88,2,2,3,470000
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,340,4,7,3,4250000
Rua Antônio Carlos de Andrade,Veleiros,136,3,2,3,550000
Rua Marjorie Prado,Jardim Marajoara,400,4,6,4,1200000
Vila Madalena São Paulo,SP,35,1,1,1,2800
Jardim Europa São Paulo,SP,520,4,6,4,45000
Rua Pedro Teixeira,Vila Olímpia,135,3,3,1,1100000
Jardim Morumbi São Paulo,SP,445,2,3,4,1900000
Rua Porto Martins,Brooklin Paulista,160,3,1,2,1400000
Rua Ernesto Nazaré,Alto de Pinheiros,434,4,4,5,3900000
Vila Nova Conceição São Paulo,SP,270,4,3,2,2995000
Vila Madalena São Paulo,SP,35,1,1,1,2800
Jardim Europa São Paulo,SP,520,4,6,4,45000
Rua Pedro Teixeira,Vila Olímpia,135,3,3,1,1100000
Jardim Morumbi São Paulo,SP,445,2,3,4,1900000
Rua Porto Martins,Brooklin Paulista,160,3,1,2,1400000
Rua Ernesto Nazaré,Alto de Pinheiros,434,4,4,5,3900000
Vila Nova Conceição São Paulo,SP,270,4,3,2,2995000
Alto de Pinheiros São Paulo,SP,426,4,7,5,2700000
Boaçava São Paulo,SP,410,3,5,3,4200000
Alto de Pinheiros São Paulo,SP,337,4,5,4,2900000
